index,perplexity
70307193,0.0
64777782,0.03125
53975521,0.0
60714659,0.0
19527065,0.0
66652030,0.0
437595,0.0
14872406,0.0
144447506,0.03125
99087839,0.0
131819974,0.0625
121840378,0.0
69633784,0.03125
73833647,0.0625
106152795,0.0
77544441,0.0
142700495,0.03125
121009803,0.0625
55025,0.03125
23623415,0.0
25193463,0.03125
11902302,0.03125
38980060,0.0
4060732,0.0
134093874,0.0
45310976,0.0
43812922,0.125
36460145,0.0
62422880,0.0
103180943,0.03125
113723134,0.15625
46942484,0.0625
145489000,0.0
32734559,0.03125
34067927,0.0
117344178,0.0
61860373,0.0
76739408,0.0
96805802,0.0
35051181,0.0
13910786,0.0
137941138,0.0
62713361,0.03125
146063038,0.03125
8596680,0.0
17117167,0.03125
67074936,0.03125
58559969,0.0
70651705,0.0625
3590406,0.03125
58000858,0.0
63956447,0.0
98309673,0.0
54723403,0.0
63594977,0.0
4137212,0.0
20106200,0.0
45216986,0.0
120938338,0.03125
44478643,0.0
40769484,0.03125
99641416,0.03125
17038075,0.03125
1423825,0.0
87937403,0.03125
37735666,0.0
21715542,0.03125
61239789,0.0
97851749,0.0
118999483,0.0
51418014,0.0
135455974,0.0
55120850,0.03125
24349967,0.0
85070156,0.0
120753897,0.03125
13458111,0.03125
22303391,0.0
67714620,0.0
56839495,0.0
14725809,0.0
140963040,0.03125
112189345,0.0
86828727,0.0
31360875,0.0
132180522,0.0
69527543,0.0
138530089,0.03125
76495266,0.125
15332922,0.0
38351693,0.0625
112531359,0.03125
141185070,0.0
2426544,0.0
24147531,0.0
103477767,0.03125
30859665,0.0
34895224,0.21875
3681153,0.0
90341114,0.0
81846903,0.03125
10271698,0.0625
77699237,0.0
113715358,0.0
120044112,0.03125
36301918,0.0
84906287,0.53125
84813128,0.03125
84367348,0.28125
10346408,0.0625
25106432,0.0625
46398641,0.0
76814281,0.09375
146292581,0.0
15153559,0.0625
89817438,0.03125
12805907,0.09375
17601678,0.0
92441592,0.03125
40339675,0.0
70784324,0.03125
19968049,0.125
74765630,0.0
48282290,0.0
11094593,0.6875
9760355,0.0625
144845543,0.03125
71646486,0.125
128379929,0.0625
40317034,0.0625
70126886,0.0
58245685,0.09375
119803436,0.0
139517021,0.0625
17090074,0.0
141617728,0.125
144299626,0.1875
107048374,0.03125
77646820,0.03125
30819234,0.0
103389021,0.03125
100388514,0.0
96036456,0.125
84788934,0.0
29913967,0.0
11424861,0.03125
81575091,0.0
143516280,0.0
107291436,0.03125
65932828,0.125
15291603,0.0625
123418407,0.125
67322402,0.03125
106421887,0.15625
46254473,0.03125
97728734,0.0625
39178700,0.125
138805312,0.1875
76819358,0.25
121444133,0.09375
31187661,0.09375
61111321,0.28125
103877996,0.03125
141707732,0.0625
75929665,0.125
78384738,0.0
60699608,0.15625
1879175,0.0
10609834,0.0
112359395,0.0625
36799419,0.0
6271574,0.03125
71004426,0.0
118510588,0.03125
87842400,0.6875
43007252,0.09375
28177822,0.09375
20808660,0.0625
47675964,0.0
135928432,0.28125
36630774,0.03125
62320413,0.0
99350766,0.0
7329401,0.0
64260805,0.03125
77271471,0.09375
136072881,0.0625
117709497,0.09375
89334437,0.125
22193365,0.03125
18478648,0.03125
120269447,0.03125
107831321,0.09375
13514434,0.0
141796493,0.0
124084195,0.0625
96541334,0.0625
34953821,0.03125
120614912,0.0
79020246,0.03125
109689185,0.03125
109858677,0.0625
75717747,0.0625
23443554,0.03125
36468179,0.15625
140958165,0.09375
127203196,0.0
37973805,0.0
75705427,0.09375
68313434,0.03125
114357856,0.09375
111482950,0.03125
146320662,0.03125
60266181,0.03125
146058113,0.125
72220741,0.0
129120503,0.1875
49889874,0.15625
136550602,0.03125
24544103,0.03125
124534077,0.0
76481894,0.15625
50187421,0.0
65066674,0.34375
29184756,0.0
34011183,0.0
48414880,0.03125
119180808,0.0625
102846698,0.09375
78551100,0.03125
46708623,0.0
54298526,0.09375
121764626,0.0
22462965,0.0
97581536,0.0625
38276083,0.0
29535922,0.0
87349630,0.0
49401014,0.21875
48744099,0.0
48986169,0.03125
31745962,0.15625
60188581,0.03125
38981712,0.6875
2290635,0.0
21435926,0.0
131784068,0.0
90689307,0.03125
64842070,0.09375
115779444,0.0
111024936,0.15625
57333191,0.09375
24141067,0.03125
49695389,0.03125
104025078,0.0
62370297,0.0
82745883,0.03125
76483127,0.1875
139933138,0.0625
101386184,0.0
107149822,0.03125
3032037,0.09375
873521,0.03125
60237650,0.125
23673,0.125
142380056,0.25
122093989,0.09375
90573750,0.0
11354869,0.0
114958715,0.03125
78789288,0.03125
98427012,0.09375
134058728,0.0625
68735979,0.0
17866368,0.03125
97530889,0.0
76490775,0.03125
18688723,0.0
74416413,0.03125
77748992,0.09375
66363507,0.03125
54920392,0.0
49888474,0.03125
94575837,0.0625
48885248,0.0625
16098499,0.09375
23446917,0.0
47603817,0.15625
82337767,0.0
9219851,0.0625
75214282,0.0
91313393,0.0
57366865,0.0
74011637,0.09375
55058214,0.0
63562679,0.0
78736168,0.03125
114882502,0.21875
107568191,0.0
12192358,0.125
105840356,0.09375
27361014,0.0
111914661,0.03125
123875543,0.03125
121062110,0.03125
16162788,0.03125
7821034,0.15625
52764784,0.0
35355692,0.03125
124514306,0.0
64391435,0.03125
53813118,0.0
6111321,0.0
118396446,0.03125
114311470,0.09375
5896162,0.09375
127602383,0.1875
96187804,0.0
90163121,0.0625
62457102,0.0625
126228024,0.03125
95165697,0.03125
120723925,0.09375
104853017,0.0625
130515728,0.03125
38329190,0.03125
80843542,0.0625
124644129,0.09375
128372629,0.09375
61671110,0.0
107125832,0.0
26773818,0.125
96404564,0.09375
64855499,0.0625
28691765,0.21875
99630832,0.0
135711891,0.03125
85334856,0.03125
58237679,0.03125
62106242,0.0
68649190,0.28125
87255770,0.0
105325953,0.0625
105208729,0.0
117287192,0.03125
143656222,0.09375
131632614,0.125
136221978,0.0
109289452,0.0
106403020,0.15625
70690349,0.03125
81104628,0.125
